 TIME                    	Power                    	Power                    	
  +1.5150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.6000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.6050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.6100000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
